projectname,diff loc,diff blocks,diff % disciplined,diff disciplined
apache,42414,37,4.3,46
berkeley.db,74015,746,0.22,697
cherokee,1543,18,10.53,21
clamav,149347,1202,1.87,1092
cpython,47913,-607,-1.58,-650
dia,3589,34,4.35,37
emacs,33914,2261,-0.84,2113
freebsd,5969007,50749,0.42,46820
gcc,1472906,5849,2.61,5296
ghostscript,688060,4049,-1.68,3579
gimp,127583,91,-1.66,83
glibc,122509,1372,3.46,1377
gnumeric,-9585,-698,7.85,-569
gnuplot,6418,28,5.15,28
irssi,2745,-7,26.32,-1
libxml2,11054,65,-1.05,53
lighttpd,38937,732,-6.25,670
linux,13044794,20866,0.78,20433
lynx,8351,54,85.19,46
openldap,19108,248,-3.5,226
openvpn,11907,56,20.37,121
parrot,17775,-304,1.14,-294
php,122603,2198,2.71,2111
postgres,221192,1092,-2.92,972
privoxy,0,0,0.0,0
sendmail,1030,19,100.0,19
sqlite,124218,1056,0.97,993
subversion,113565,348,-35.77,221
sylpheed,3847,53,96.23,50
tcl,14393,345,-6.62,290
xfig,1029,16,87.5,14
xinelib,848,0,-66.67,-3
xterm,6051,-29,5.05,-24
