project,total files version 0,total files version 1,total removed
xterm,59,128,46
tcl,434,1462,118
sqlite,174,1379,133
postgres,2111,11077,1143
php,3302,7573,716
parrot,700,1294,187
openldap,1122,3017,353
linux,65263,284603,9059
lighttpd,203,577,95
libxml2,168,544,100
gnuplot,219,678,134
gnumeric,1018,2152,428
glibc,16733,54383,3915
gimp,3935,12565,1789
gcc,79968,275368,2762
freebsd,50525,217550,8824
emacs,1312,1738,111
dia,648,1920,292
cpython,1473,2661,318
clamav,635,6518,182
cherokee,354,1043,208
berkeley.db,1862,2801,14
apache,589,1875,212
