project, filepath_prev, filepath_curr, disc_prev, undisc_prev,disc_curr, undisc_curr
xterm,processing/prev_ver/resize.c,processing/curr_ver/resize.c,42,1,40,1
xterm,processing/prev_ver/menu.c,processing/curr_ver/menu.c,125,2,148,3
xterm,processing/prev_ver/cursor.c,processing/curr_ver/cursor.c,3,0,4,0
xterm,processing/prev_ver/trace.c,processing/curr_ver/trace.c,15,4,21,3
xterm,processing/prev_ver/fontutils.c,processing/curr_ver/fontutils.c,44,6,75,10
xterm,processing/prev_ver/screen.c,processing/curr_ver/screen.c,33,4,85,5
xterm,processing/prev_ver/Tekproc.c,processing/curr_ver/Tekproc.c,20,3,22,3
xterm,processing/prev_ver/main.c,processing/curr_ver/main.c,443,22,458,17
xterm,processing/prev_ver/charproc.c,processing/curr_ver/charproc.c,243,21,374,25
xterm,processing/prev_ver/ptydata.c,processing/curr_ver/ptydata.c,16,2,18,0
xterm,processing/prev_ver/util.c,processing/curr_ver/util.c,67,7,85,15
xterm,processing/prev_ver/doublechr.c,processing/curr_ver/doublechr.c,6,0,8,0
xterm,processing/prev_ver/print.c,processing/curr_ver/print.c,13,4,15,3
xterm,processing/prev_ver/misc.c,processing/curr_ver/misc.c,74,18,138,16
xterm,processing/prev_ver/data.c,processing/curr_ver/data.c,4,0,6,0
xterm,processing/prev_ver/button.c,processing/curr_ver/button.c,46,15,57,16
xterm,processing/prev_ver/xtermcap.c,processing/curr_ver/xtermcap.c,13,0,21,1
xterm,processing/prev_ver/scrollbar.c,processing/curr_ver/scrollbar.c,8,0,17,3
xterm,processing/prev_ver/VTPrsTbl.c,processing/curr_ver/VTPrsTbl.c,4,0,5,0
xterm,processing/prev_ver/charsets.c,processing/curr_ver/charsets.c,5,1,4,1
xterm,processing/prev_ver/input.c,processing/curr_ver/input.c,51,14,52,12
xterm,processing/prev_ver/ptyx.h,processing/curr_ver/ptyx.h,101,0,156,0
xterm,processing/prev_ver/VTparse.h,processing/curr_ver/VTparse.h,5,0,4,0
xterm,processing/prev_ver/xterm.h,processing/curr_ver/xterm.h,41,2,47,1
xterm,processing/prev_ver/trace.h,processing/curr_ver/trace.h,1,1,1,0
xterm,processing/prev_ver/data.h,processing/curr_ver/data.h,16,0,21,0
xterm,processing/prev_ver/menu.h,processing/curr_ver/menu.h,40,0,50,0
xterm,processing/prev_ver/xterm_io.h,processing/curr_ver/xterm_io.h,11,0,8,0
xterm,processing/prev_ver/fontutils.h,processing/curr_ver/fontutils.h,7,0,9,0
tcl,processing/prev_ver/libtommath/bn_s_mp_exptmod.c,processing/curr_ver/libtommath/bn_s_mp_exptmod.c,2,0,1,0
tcl,processing/prev_ver/libtommath/bn_mp_exptmod.c,processing/curr_ver/libtommath/bn_mp_exptmod.c,9,2,1,0
tcl,processing/prev_ver/libtommath/bn_mp_sqr.c,processing/curr_ver/libtommath/bn_mp_sqr.c,2,4,1,0
tcl,processing/prev_ver/libtommath/bn_mp_mul.c,processing/curr_ver/libtommath/bn_mp_mul.c,2,4,1,0
tcl,processing/prev_ver/libtommath/bn_mp_reduce.c,processing/curr_ver/libtommath/bn_mp_reduce.c,4,0,1,0
tcl,processing/prev_ver/libtommath/bn_prime_tab.c,processing/curr_ver/libtommath/bn_prime_tab.c,2,0,5,0
tcl,processing/prev_ver/libtommath/bn_mp_fwrite.c,processing/curr_ver/libtommath/bn_mp_fwrite.c,1,0,2,0
tcl,processing/prev_ver/libtommath/bn_mp_fread.c,processing/curr_ver/libtommath/bn_mp_fread.c,1,0,2,0
tcl,processing/prev_ver/libtommath/bn_mp_prime_is_prime.c,processing/curr_ver/libtommath/bn_mp_prime_is_prime.c,1,0,7,0
tcl,processing/prev_ver/libtommath/bn_s_mp_mul_high_digs.c,processing/curr_ver/libtommath/bn_s_mp_mul_high_digs.c,2,0,1,0
tcl,processing/prev_ver/libtommath/bn_mp_sqrt.c,processing/curr_ver/libtommath/bn_mp_sqrt.c,4,0,5,0
tcl,processing/prev_ver/libtommath/bn_mp_div_d.c,processing/curr_ver/libtommath/bn_mp_div_d.c,2,0,1,0
tcl,processing/prev_ver/libtommath/bn_mp_invmod.c,processing/curr_ver/libtommath/bn_mp_invmod.c,3,0,1,0
tcl,processing/prev_ver/generic/tclUniData.c,processing/curr_ver/generic/tclUniData.c,0,0,2,0
tcl,processing/prev_ver/generic/tclStubInit.c,processing/curr_ver/generic/tclStubInit.c,34,0,26,0
tcl,processing/prev_ver/libtommath/tommath_superclass.h,processing/curr_ver/libtommath/tommath_superclass.h,1,0,2,0
tcl,processing/prev_ver/libtommath/tommath_class.h,processing/curr_ver/libtommath/tommath_class.h,1,0,2,0
tcl,processing/prev_ver/libtommath/tommath.h,processing/curr_ver/libtommath/tommath.h,12,2,16,2
tcl,processing/prev_ver/generic/tclTomMathDecls.h,processing/curr_ver/generic/tclTomMathDecls.h,63,2,1,2
tcl,processing/prev_ver/generic/tclPlatDecls.h,processing/curr_ver/generic/tclPlatDecls.h,16,2,9,2
tcl,processing/prev_ver/generic/tclInt.h,processing/curr_ver/generic/tclInt.h,20,0,0,0
tcl,processing/prev_ver/generic/tclIntDecls.h,processing/curr_ver/generic/tclIntDecls.h,186,2,1,2
tcl,processing/prev_ver/generic/regex.h,processing/curr_ver/generic/regex.h,10,2,8,2
tcl,processing/prev_ver/generic/tclIntPlatDecls.h,processing/curr_ver/generic/tclIntPlatDecls.h,68,2,8,2
tcl,processing/prev_ver/generic/tclTomMath.h,processing/curr_ver/generic/tclTomMath.h,20,2,23,2
tcl,processing/prev_ver/generic/tclDecls.h,processing/curr_ver/generic/tclDecls.h,637,2,20,1
tcl,processing/prev_ver/win/tclWinInt.h,processing/curr_ver/win/tclWinInt.h,1,0,4,0
tcl,processing/prev_ver/win/tclWinPort.h,processing/curr_ver/win/tclWinPort.h,12,0,14,0
tcl,processing/prev_ver/unix/tclUnixPort.h,processing/curr_ver/unix/tclUnixPort.h,39,0,0,0
sqlite,processing/prev_ver/tool/lemon.c,processing/curr_ver/tool/lemon.c,4,0,5,2
sqlite,processing/prev_ver/tool/lempar.c,processing/curr_ver/tool/lempar.c,37,3,58,3
sqlite,processing/prev_ver/src/vdbeaux.c,processing/curr_ver/src/vdbeaux.c,23,6,81,3
sqlite,processing/prev_ver/src/os.c,processing/curr_ver/src/os.c,6,0,14,0
